,Level1,Level2,Level3,Level4,Total
258,1990-1993,1,Learning Global Direct Inverse Kinematics,Global Regularization of Inverse Kinematics for Redundant Manipulators,1
259,2002-2005,2,Bayesian inference in spiking neurons,Probabilistic Computation in Spiking Populations,1
260,2002-2005,2,Bayesian inference in spiking neurons,Sensory Adaptation within a Bayesian Framework for Perception,1
261,2011-2014,3,Robust Low Rank Kernel Embeddings of Multivariate Distributions,Kernel Mean Estimation via Spectral Filtering,1
262,2011-2014,4,Structure estimation for discrete graphical models: Generalized covariance matrices and their inverses,Robust Multimodal Graph Matching: Sparse Coding Meets Graph Matching,1
263,2005-2008,5,Learnability and the doubling dimension,Near-optimal sample compression for nearest neighbors,1
264,2005-2008,5,Learnability and the doubling dimension,Improved Error Bounds for Tree Representations of Metric Spaces,1
265,2008-2011,6,Fast subtree kernels on graphs,Discriminative Clustering by Regularized Information Maximization,1
266,2008-2011,6,Fast subtree kernels on graphs,Halting in Random Walk Kernels,1
267,2008-2011,6,Fast subtree kernels on graphs,A Structural Smoothing Framework For Robust Graph Comparison,1
268,2008-2011,7,Learning To Count Objects in Images,"Attend, Infer, Repeat: Fast Scene Understanding with Generative Models",1
269,2011-2014,8,Probabilistic Principal Geodesic Analysis,A Locally Adaptive Normal Distribution,1
270,2005-2008,9,Online Prediction on Large Diameter Graphs,Label Selection on Graphs,1
271,2008-2011,10,Online Prediction on Large Diameter Graphs,Label Selection on Graphs,1
272,2002-2005,11,Intrinsically Motivated Reinforcement Learning,Reward Design via Online Gradient Ascent,1
273,2002-2005,12,Learning a Distance Metric from Relative Comparisons,Online Metric Learning and Fast Similarity Search,1
274,2011-2014,13,Multivariate f-divergence Estimation With Confidence,"Nonparametric von Mises Estimators for Entropies, Divergences and Mutual Informations",1
275,2014-2017,0,Multivariate f-divergence Estimation With Confidence,"Nonparametric von Mises Estimators for Entropies, Divergences and Mutual Informations",1
276,1987-1990,1,An Efficient Implementation of the Back-propagation Algorithm on the Connection Machine CM-2,Back Propagation Implementation on the Adaptive Solutions CNAPS Neurocomputer Chip,1
277,2002-2005,2,"Learning vehicular dynamics, with application to modeling helicopters",Robust Value Function Approximation Using Bilinear Programming,1
278,2005-2008,3,"Learning vehicular dynamics, with application to modeling helicopters",Robust Value Function Approximation Using Bilinear Programming,1
279,2005-2008,4,Syntactic Topic Models,Construction of Dependent Dirichlet Processes based on Poisson Processes,1
280,2008-2011,5,Syntactic Topic Models,Construction of Dependent Dirichlet Processes based on Poisson Processes,1
281,2005-2008,6,Random Features for Large-Scale Kernel Machines,Correlated random features for fast semi-supervised learning,1
282,2005-2008,6,Random Features for Large-Scale Kernel Machines,Parallel Predictive Entropy Search for Batch Global Optimization of Expensive Objective Functions,1
283,2005-2008,6,Random Features for Large-Scale Kernel Machines,Less is More: Nystr?m Computational Regularization,1
284,1990-1993,7,Figure of Merit Training for Detection and Spotting,Using Voice Transformations to Create Additional Training Talkers for Word Spotting,1
285,1993-1996,8,Figure of Merit Training for Detection and Spotting,Using Voice Transformations to Create Additional Training Talkers for Word Spotting,1
286,2014-2017,9,Composing graphical models with neural networks for structured representations and fast inference,Scaling Factorial Hidden Markov Models: Stochastic Variational Inference without Messages,1
287,1999-2002,10,(Not) Bounding the True Error,PAC-Bayes & Margins,1
288,2011-2014,11,Extracting regions of interest from biological images with convolutional sparse block coding,Automatic Neuron Detection in Calcium Imaging Data Using Convolutional Networks,1
289,2005-2008,12,Ensemble Clustering using Semidefinite Programming,Graph-based Consensus Maximization among Multiple Supervised and Unsupervised Models,1
290,1993-1996,13,Hierarchical Mixtures of Experts Methodology Applied to Continuous Speech Recognition,Adaptively Growing Hierarchical Mixtures of Experts,1
291,2002-2005,0,A Hierarchical Compositional System for Rapid Object Detection,"Rapid Inference on a Novel AND/OR graph for Object Detection, Segmentation and Parsing",1
292,2005-2008,1,A Hierarchical Compositional System for Rapid Object Detection,"Rapid Inference on a Novel AND/OR graph for Object Detection, Segmentation and Parsing",1
293,1987-1990,2,Maximum Likelihood Competitive Learning,Neural Control for Rolling Mills: Incorporating Domain Theories to Overcome Data Deficiency,1
294,1987-1990,2,Maximum Likelihood Competitive Learning,Some Solutions to the Missing Feature Problem in Vision,1
295,1987-1990,2,Maximum Likelihood Competitive Learning,Unsupervised Learning of Mixtures of Multiple Causes in Binary Data,1
296,2011-2014,3,Ancestor Sampling for Particle Gibbs,Gaussian Process Volatility Model,1
297,2011-2014,4,Scalable nonconvex inexact proximal splitting,Communication Efficient Distributed Machine Learning with the Parameter Server,1
298,2011-2014,4,Scalable nonconvex inexact proximal splitting,Proximal Stochastic Methods for Nonsmooth Nonconvex Finite-Sum Optimization,1
299,2011-2014,4,Scalable nonconvex inexact proximal splitting,NESTT: A Nonconvex Primal-Dual Splitting Method for Distributed and Stochastic Optimization,1
300,2005-2008,5,Adaptive Forward-Backward Greedy Algorithm for Sparse Learning with Linear Models,Boosting with Spatial Regularization,1
301,2008-2011,6,Adaptive Forward-Backward Greedy Algorithm for Sparse Learning with Linear Models,Boosting with Spatial Regularization,1
302,2005-2008,7,Efficient Inference for Distributions on Permutations,Inferring rankings under constrained sensing,1
303,2005-2008,7,Efficient Inference for Distributions on Permutations,Fast Resampling Weighted v-Statistics,1
304,2005-2008,8,Spectral Clustering with Perturbed Data,Noise Thresholds for Spectral Clustering,1
305,2008-2011,9,Spectral Clustering with Perturbed Data,Noise Thresholds for Spectral Clustering,1
306,1990-1993,10,Modeling Applications with the Focused Gamma Net,A Comparison of Discrete-Time Operator Models for Nonlinear System Identification,1
307,1990-1993,11,Efficient Pattern Recognition Using a New Transformation Distance,Nonlinear Image Interpolation using Manifold Learning,1
308,1990-1993,11,Efficient Pattern Recognition Using a New Transformation Distance,Adaptive Elastic Input Field for Recognition Improvement,1
309,1999-2002,12,Half-Lives of EigenFlows for Spectral Clustering,Hierarchical Eigensolver for Transition Matrices in Spectral Methods,1
310,2002-2005,13,Half-Lives of EigenFlows for Spectral Clustering,Hierarchical Eigensolver for Transition Matrices in Spectral Methods,1
311,2011-2014,0,On Iterative Hard Thresholding Methods for High-dimensional M-Estimation,Robust Regression via Hard Thresholding,1
312,2014-2017,1,On Iterative Hard Thresholding Methods for High-dimensional M-Estimation,Robust Regression via Hard Thresholding,1
313,1996-1999,2,Incorporating Contextual Information in White Blood Cell Identification,Image Recognition in Context: Application to Microscopic Urinalysis,1
314,1990-1993,3,When will a Genetic Algorithm Outperform Hill Climbing,Genetic Algorithms and Explicit Search Statistics,1
315,1993-1996,4,When will a Genetic Algorithm Outperform Hill Climbing,Genetic Algorithms and Explicit Search Statistics,1
316,2005-2008,5,Convergence of Laplacian Eigenmaps,Statistical Analysis of Semi-Supervised Learning: The Limit of Infinite Unlabelled Data,1
317,2011-2014,6,Minimax-optimal Inference from Partial Rankings,Fast and Accurate Inference of Plackett?Luce Models,1
318,2014-2017,7,Minimax-optimal Inference from Partial Rankings,Fast and Accurate Inference of Plackett?Luce Models,1
319,1993-1996,8,Adaptive Access Control Applied to Ethernet Data,Optimizing Admission Control while Ensuring Quality of Service in Multimedia Networks via Reinforcement Learning,1
320,1996-1999,9,Adaptive Access Control Applied to Ethernet Data,Optimizing Admission Control while Ensuring Quality of Service in Multimedia Networks via Reinforcement Learning,1
321,2008-2011,10,Streaming k-means approximation,Fast and Accurate k-means For Large Datasets,1
322,2008-2011,10,Streaming k-means approximation,Optimistic Concurrency Control for Distributed Unsupervised Learning,1
323,2008-2011,10,Streaming k-means approximation,Fast Distributed k-Center Clustering with Outliers on Massive Data,1
324,2008-2011,10,Streaming k-means approximation,A Constant-Factor Bi-Criteria Approximation Guarantee for k-means++,1
325,2008-2011,10,Streaming k-means approximation,Fast and Provably Good Seedings for k-Means,1
326,2005-2008,11,Sparse probabilistic projections,Multi-Label Prediction via Sparse Infinite CCA,1
327,2005-2008,11,Sparse probabilistic projections,Factorized Latent Spaces with Structured Sparsity,1
328,2005-2008,11,Sparse probabilistic projections,Sparse Bayesian Multi-Task Learning,1
329,2005-2008,11,Sparse probabilistic projections,Spike and Slab Variational Inference for Multi-Task and Multiple Kernel Learning,1
330,2005-2008,11,Sparse probabilistic projections,EigenNet: A Bayesian hybrid of generative and conditional models for sparse learning,1
331,2005-2008,11,Sparse probabilistic projections,Convex Multi-view Subspace Learning,1
332,2008-2011,12,Sparse probabilistic projections,Multi-Label Prediction via Sparse Infinite CCA,1
333,2008-2011,12,Sparse probabilistic projections,Factorized Latent Spaces with Structured Sparsity,1
334,2008-2011,12,Sparse probabilistic projections,Sparse Bayesian Multi-Task Learning,1
335,2008-2011,12,Sparse probabilistic projections,Spike and Slab Variational Inference for Multi-Task and Multiple Kernel Learning,1
336,2008-2011,12,Sparse probabilistic projections,EigenNet: A Bayesian hybrid of generative and conditional models for sparse learning,1
337,2008-2011,12,Sparse probabilistic projections,Convex Multi-view Subspace Learning,1
338,2002-2005,13,Kernels for Structured Natural Language Data,Sequence and Tree Kernels with Statistical Feature Mining,1
339,1987-1990,0,Optimal Brain Damage,Competition Among Networks Improves Committee Performance,1
340,1987-1990,0,Optimal Brain Damage,"Overfitting in Neural Nets: Backpropagation, Conjugate Gradient, and Early Stopping",1
341,1987-1990,0,Optimal Brain Damage,Handwritten Digit Recognition with a Back-Propagation Network,1
342,1987-1990,0,Optimal Brain Damage,Transforming Neural-Net Output Levels to Probability Distributions,1
343,1987-1990,0,Optimal Brain Damage,Neural Control for Rolling Mills: Incorporating Domain Theories to Overcome Data Deficiency,1
344,1987-1990,0,Optimal Brain Damage,Automatic Learning Rate Maximization by On-Line Estimation of the Hessian's Eigenvectors,1
345,1987-1990,0,Optimal Brain Damage,Extended Regularization Methods for Nonconvergent Model Selection,1
346,1987-1990,0,Optimal Brain Damage,Second order derivatives for network pruning: Optimal Brain Surgeon,1
347,1987-1990,0,Optimal Brain Damage,Optimal Brain Surgeon: Extensions and performance comparisons,1
348,1987-1990,0,Optimal Brain Damage,Constructive Learning Using Internal Representation Conflicts,1
349,1987-1990,0,Optimal Brain Damage,Recurrent Networks: Second Order Properties and Pruning,1
350,2005-2008,1,Sequential effects: Superstition or rational behavior?,Sequential effects reflect parallel learning of multiple environmental regularities,1
351,2005-2008,1,Sequential effects: Superstition or rational behavior?,A rational decision making framework for inhibitory control,1
352,2005-2008,1,Sequential effects: Superstition or rational behavior?,Context-sensitive active sensing in humans,1
