Level1,Level2,Level3,Level4,Federal,,Total
Other Spending,Community development,Area and regional development (452),Operation of Indian Programs,1.206,b,1.206
Other Spending,Community development,Area and regional development (452),Construction,0.196,b,0.196
Other Spending,Community development,Area and regional development (452),Miscellaneous Permanent Appropriations,0.1,b,0.1
Other Spending,Community development,Area and regional development (452),Trust Land Consolidation Fund,0.35,b,0.35
Other Spending,Community development,Area and regional development (452),Tribal Special Fund,0.339,b,0.339
Other Spending,Community development,Area and regional development (452),Tribal Trust Fund,0.104,b,0.104
Other Spending,Community development,Area and regional development (452),Appalachian Regional Commission,0.063,b,0.063
Other Spending,Community development,Area and regional development (452),National Infrastructure Bank Program Account,0.107,b,0.107
Other Spending,Community development,Area and regional development (452),Salaries and Expenses,0.218,b,0.218
Other Spending,Community development,Area and regional development (452),"Distance Learning, Telemedicine, and Broadband Program",0.709,b,0.709
Other Spending,Community development,Area and regional development (452),"Distance Learning, Telemedicine, and Broadband Program",0.075,b,0.075
Other Spending,Community development,Area and regional development (452),Rural Water and Waste Disposal Program Account,0.933,b,0.933
Other Spending,Community development,Area and regional development (452),Rural Water and Waste Disposal Program Account,0.113,b,0.113
Other Spending,Community development,Area and regional development (452),Rural Development Insurance Fund Liquidating Account,0.126,b,0.126
Other Spending,Community development,Area and regional development (452),Rural Community Facilities Program Account,0.065,b,0.065
Other Spending,Community development,Area and regional development (452),Rural Business Program Account,0.086,b,0.086
Other Spending,Community development,Area and regional development (452),Energy Assistance Payments,0.129,b,0.129
Other Spending,Community development,Area and regional development (452),Rural Economic Development Grants,0.161,b,0.161
Other Spending,Community development,Area and regional development (452),Biorefinery Assistance Program Account,0.06,b,0.06
Other Spending,Community development,Area and regional development (452),Economic Development Assistance Programs,0.444,b,0.444
Other Spending,Community development,Disaster relief and insurance (453),Office of Health Affairs,0.166,b,0.166
Other Spending,Community development,Disaster relief and insurance (453),National Protection and Programs Directorate,0.053,b,0.053
Other Spending,Community development,Disaster relief and insurance (453),National Flood Insurance Fund,0.364,b,0.364
Other Spending,Community development,Disaster relief and insurance (453),Flood Hazard Mapping and Risk Analysis Program,0.115,b,0.115
Other Spending,Community development,Disaster relief and insurance (453),State and Local Programs,5.735,b,5.735
Other Spending,Community development,Disaster relief and insurance (453),Salaries and Expenses,0.761,b,0.761
Other Spending,Community development,Disaster relief and insurance (453),Disaster Relief,0.611,b,0.611
Other Spending,Community development,Disaster relief and insurance (453),Disaster Relief,9.349,b,9.349
Other Spending,Community development,Disaster relief and insurance (453),Disaster Assistance Direct Loan Program Account,0.053,b,0.053
Other Spending,Community development,Disaster relief and insurance (453),Radiological Emergency Preparedness Program,0.051,b,0.051
Other Spending,Community development,Disaster relief and insurance (453),National Predisaster Mitigation Fund,0.16,b,0.16
Other Spending,Community development,Disaster relief and insurance (453),First Responder Stabilization Fund,0.399,b,0.399
Other Spending,Community development,Disaster relief and insurance (453),Disaster Loans Program Account,0.285,b,0.285
Other Spending,Community development,Disaster relief and insurance (453),Emergency Conservation Program,0.101,b,0.101
Other Spending,Community development,Current Operations  Parking Facilities (E60),,0,g,1.4
Other Spending,Community development,Construction  Parking Facilities (F60),,0,g,0.3
Other Spending,Community development,Other Capital Outlay  Parking Facilities (G60),,0,g,0.1
Other Spending,Water supply,Water resources (301),"Reclamation Fund, Other Proprietary Receipts from the Public",0.128,b,0.128
Other Spending,Water supply,Water resources (301),"Revenues, Colorado River Dam Fund, Boulder Canyon Project",0.111,b,0.111
Other Spending,Water supply,Water resources (301),Policy and Administration,0.06,b,0.06
Other Spending,Water supply,Water resources (301),Reclamation Water Settlements Fund,0.06,b,0.06
Other Spending,Water supply,Water resources (301),"Colorado River Dam Fund, Boulder Canyon Project",0.104,b,0.104
Other Spending,Water supply,Water resources (301),Water and Related Resources,0.921,b,0.921
Other Spending,Water supply,Water resources (301),Mississippi River and Tributaries,0.56,b,0.56
Other Spending,Water supply,Water resources (301),Investigations,0.123,b,0.123
Other Spending,Water supply,Water resources (301),Construction,2.602,b,2.602
Other Spending,Water supply,Water resources (301),Operation and Maintenance,1.957,b,1.957
Other Spending,Water supply,Water resources (301),Expenses,0.183,b,0.183
Other Spending,Water supply,Water resources (301),Flood Control and Coastal Emergencies,1.479,b,1.479
Other Spending,Water supply,Water resources (301),Regulatory Program,0.212,b,0.212
Other Spending,Water supply,Water resources (301),Coastal Wetlands Restoration Trust Fund,0.11,b,0.11
Other Spending,Water supply,Water resources (301),Inland Waterways Trust Fund,0.097,b,0.097
Other Spending,Water supply,Water resources (301),"Contributions, Rivers and Harbors, Other Than Port and Harbor User Fees",0.45,b,0.45
Other Spending,Water supply,Water resources (301),Rivers and Harbors Contributed Funds,0.456,b,0.456
Other Spending,Water supply,Water resources (301),Harbor Maintenance Trust Fund,0.839,b,0.839
Other Spending,Water supply,Water resources (301),Watershed Rehabilitation Program,0.053,b,0.053
Other Spending,Water supply,Water resources (301),Watershed and Flood Prevention Operations,0.164,b,0.164
Other Spending,Water supply,Federal Intergovernmental  Water Utilities (B91),,0,g,1.7
Other Spending,Water supply,Current Operations  Water Utilities (E91),,0,g,39.3
Other Spending,Water supply,Construction  Water Utilities (F91),,0,g,11.5
Other Spending,Water supply,Other Capital Outlay  Water Utilities (G91),,0,g,2.2
Other Spending,Water supply,Water Utilities  Interest on Debt (I91),,0,g,6.8
Other Spending,Street lighting,,,0,,0
Other Spending,R&D Housing and community amenities,,,0,,0
Other Spending,Housing and community amenities n.e.c.,,,0,,0
Other Spending,Recreational and sporting services,Recreational resources (303),"Recreation Enhancement Fee, National Park System",0.172,b,0.172
Other Spending,Recreational and sporting services,Recreational resources (303),Park Concessions Franchise Fees,0.07,b,0.07
Other Spending,Recreational and sporting services,Recreational resources (303),Federal Aid in Wildlife Restoration,0.424,b,0.424
Other Spending,Recreational and sporting services,Recreational resources (303),Migratory Bird Conservation Account,0.059,b,0.059
Other Spending,Recreational and sporting services,Recreational resources (303),Sport Fish Restoration,0.5,b,0.5
Other Spending,Recreational and sporting services,Recreational resources (303),Operation of the National Park System,2.276,b,2.276
Other Spending,Recreational and sporting services,Recreational resources (303),Construction (and Major Maintenance),0.279,b,0.279
Other Spending,Recreational and sporting services,Recreational resources (303),National Recreation and Preservation,0.063,b,0.063
Other Spending,Recreational and sporting services,Recreational resources (303),Land Acquisition and State Assistance,0.064,b,0.064
Other Spending,Recreational and sporting services,Recreational resources (303),Historic Preservation Fund,0.081,b,0.081
Other Spending,Recreational and sporting services,Recreational resources (303),Other Permanent Appropriations,0.179,b,0.179
Other Spending,Recreational and sporting services,Recreational resources (303),Recreation Fee Permanent Appropriations,0.158,b,0.158
Other Spending,Recreational and sporting services,Recreational resources (303),"Recreational Fee Demonstration Program, Forest Service",0.062,b,0.062
Other Spending,Recreational and sporting services,Recreational resources (303),Forest Service Permanent Appropriations,0.062,b,0.062
Other Spending,Recreational and sporting services,Current Operations  Parks and Recreation (E61),,0,g,29.7
Other Spending,Recreational and sporting services,Construction  Parks and Recreation (F61),,0,g,8.3
Other Spending,Recreational and sporting services,Other Capital Outlay  Parks and Recreation (G61),,0,g,2.6
Other Spending,Cultural services,,,0,,0
Other Spending,Broadcasting and publishing services,,,0,,0
Other Spending,Religious and other community services,,,0,,0
Other Spending,"R&D Recreation, culture and religion",,,0,,0
Other Spending,"Recreation, culture and religion n.e.c.",,,0,,0
Other Spending,R&D General public services,,,0,,0
Other Spending,General public services n.e.c.,Deductions for offsetting receipts (809),,1.8,b,1.8
Other Spending,General public services n.e.c.,General revenue sharing (851),,0,,0
Other Spending,General public services n.e.c.,Other general purpose fiscal assistance (852),,0,,0
Other Spending,General public services n.e.c.,Central Federal credit activities (871),,0,,0
Other Spending,General public services n.e.c.,Financial stabilization efforts (891),,0,,0
Other Spending,General public services n.e.c.,Disaster costs (892),,0,,0
Other Spending,General public services n.e.c.,Bipartisan economic security plan (921),,0,b,0
Other Spending,General public services n.e.c.,Allowance for anticipated supplemental (922),,0,,0
Other Spending,General public services n.e.c.,National emergency reserve (923),,0,,0
Other Spending,General public services n.e.c.,Spectrum relocation (924),,0,b,0
Other Spending,General public services n.e.c.,Debt collection initiatives (925),,1.6,b,1.6
Other Spending,General public services n.e.c.,Adjustment to certain passthrough accounts (926),,0,,0
Other Spending,General public services n.e.c.,Contingent offset for the refundable portion of the health care tax credit (927),,0,,0
Other Spending,General public services n.e.c.,Contingencies for other requirements (928),,0,,0
Other Spending,General public services n.e.c.,Other allowances (929),,0,b,0
Other Spending,General public services n.e.c.,Current Operations  General  Other (E89),,0,g,112.2
Other Spending,General public services n.e.c.,Construction  General  Other (F89),,0,g,16.1
Other Spending,General public services n.e.c.,Other Capital Outlay  General  Other (G89),,0,g,7.8
Other Spending,Transfers of a general character between,Federal Intergovernmental  All Other (B89),,0,g,41.2
Interest,Public debt transactions,Interest on Treasury debt securities (gross) (901),Interest on Treasury Debt Securities (gross),283.936,b,283.936
Interest,Public debt transactions,Interest on Treasury debt securities (gross) (901),Interest Paid to Trust Fund Receipt Accounts  Shadow Account,172.946,b,172.946
Interest,Public debt transactions,Interest on Treasury debt securities (gross) (901),Interest Paid to Expenditure Accounts  Shadow Account,4.043,b,4.043
Interest,Public debt transactions,Interest on Treasury debt securities (gross) (901),Interest Paid to Federal Fund Receipt Accounts  Shadow Account,11.115,b,11.115
Interest,Public debt transactions,Interest received by onbudget trust funds (902),"Interest Received by Trust Fund, FSMI Fund",2.561,b,2.561
Interest,Public debt transactions,Interest received by onbudget trust funds (902),"FHI Trust Fund, Interest Received by Trust Funds",10.042,b,10.042
Interest,Public debt transactions,Interest received by onbudget trust funds (902),"Unemployment Trust Fund, Interest and Profits on Investments in Public Debt Securities",0.431,b,0.431
Interest,Public debt transactions,Interest received by onbudget trust funds (902),"Earnings on Investments, Military Retirement Fund",17.152,b,17.152
Interest,Public debt transactions,Interest received by onbudget trust funds (902),"Interest, Airport and Airway Trust Fund",0.226,b,0.226
Interest,Public debt transactions,Interest received by onbudget trust funds (902),"NSLI Fund, Interest",0.317,b,0.317
Interest,Public debt transactions,Interest received by onbudget trust funds (902),"FFB, TVA, and USPS Interest, Civil Service Retirement and Disability Fund",0.329,b,0.329
Interest,Public debt transactions,Interest received by onbudget trust funds (902),"Treasury Interest, Civil Service Retirement and Disability Fund",31.838,b,31.838
Interest,Public debt transactions,Interest received by onbudget trust funds (902),"Interest and Profits on Investments, Hazardous Substance Superfund",0.111,b,0.111
Interest,Public debt transactions,Interest received by onbudget trust funds (902),"Earnings on Investments, Leaking Underground Storage Tank Trust Fund",0.11,b,0.11
Interest,Public debt transactions,Interest received by onbudget trust funds (902),"Interest and Profits on Investments, Vaccine Injury Compensation Trust Fund",0.074,b,0.074
Interest,Public debt transactions,Interest received by onbudget trust funds (902),"Interest on Investments, Foreign Service Retirement and Disability Fund",0.785,b,0.785
Interest,Public debt transactions,Interest received by onbudget trust funds (902),"Earnings on Investments, Harbor Maintenance Trust Fund",0.205,b,0.205
Interest,Public debt transactions,Interest received by offbudget trust funds (903),"FOASI, Interest Received by Trust Funds",103.32,b,103.32
Interest,Public debt transactions,Interest received by offbudget trust funds (903),"FDI, Interest Received by Trust Funds",5.517,b,5.517
Interest,Public debt transactions,Other interest (908),"Earnings on Investments, Abandoned Mine Reclamation Fund",0.056,b,0.056
Interest,Public debt transactions,Other interest (908),"Interest on Loans to the Helium Fund, Department of Interior",0.175,b,0.175
Interest,Public debt transactions,Other interest (908),Interest on Loans to BPA,0.336,b,0.336
Interest,Public debt transactions,Other interest (908),Interest on Loans to Federal Financing Bank,2.626,b,2.626
Interest,Public debt transactions,Other interest (908),"Interest on Loans to National Flood Insurance Fund, DHS",0.099,b,0.099
Interest,Public debt transactions,Other interest (908),Interest on Quota in International Monetary Fund,0.055,b,0.055
Interest,Public debt transactions,Other interest (908),Interest Received from Credit Financing Accounts,52.888,b,52.888
Interest,Public debt transactions,Other interest (908),Interest on Loans and Repayable Advances to the Federal Unemployment Account,0.85,b,0.85
Interest,Public debt transactions,Other interest (908),Payment to the Resolution Funding Corporation,2.628,b,2.628
Interest,Public debt transactions,Other interest (908),Interest Paid to Credit Financing Accounts,12.82,b,12.82
Interest,Public debt transactions,Other interest (908),"Refunding Internal Revenue Collections, Interest",3.208,b,3.208
Interest,Public debt transactions,Other interest (908),Interest on Loans or Advances to the Extended Unemployment Compensation Account,0.46,b,0.46
Interest,Public debt transactions,Other interest (908),"Earnings on Investments, Nuclear Waste Disposal Fund",1.571,b,1.571
Interest,Public debt transactions,Other interest (908),"Earnings on Investments, Decontamination and Decommissioning Fund",0.12,b,0.12
Interest,Public debt transactions,Other interest (908),"Earnings on Investments, DoD MedicareEligible Retiree Health Care Fund",7.43,b,7.43
Interest,Public debt transactions,Other interest (908),"Earnings on Investments, Postal Service Retiree Health Benefits Fund",1.773,b,1.773
Interest,Public debt transactions,Other interest (908),"Earnings on Investments, DC Federal Pension Fund",0.094,b,0.094
Interest,Public debt transactions,Other interest (908),"General Fund Proprietary Interest Receipts, not Otherwise Classified",0.09,b,0.09
Interest,Public debt transactions,Other investment income (909),"Gains and Losses on NonFederal Securities, National Railroad Retirement Investment Trust",0.19,b,0.19
Interest,Public debt transactions,Other investment income (909),"Interest and Dividends on NonFederal Securities, National Railroad Retirement Investment Trust",0.455,b,0.455
Interest,Public debt transactions,General  Interest on Debt (I89),,0,g,114.8
Balance,,,,0,g,0
Total Spending,Total,Federal Intergovernmental  General Local Government Support (B30),,0,g,0.8
Total Spending,Total,Federal Intergovernmental  All Other (B89),,0,g,41.2
Total Spending,Total,"Federal Intergovernmental  Natural Resources, Agriculture (Disc. 2005) (B54)",,0,,0
Total Spending,Total,Federal Intergovernmental  Natural Resources (B59),,0,g,2.6
Total Spending,Total,Federal Intergovernmental  Electric Utilities (B92),,0,g,0.2
Total Spending,Total,Federal Intergovernmental  Gas Utilities (B93),,0,,0
Total Spending,Total,Federal Intergovernmental  Air Transportation (B01),,0,g,2.9
Total Spending,Total,Federal Intergovernmental  Highways (B46),,0,g,46.4
Total Spending,Total,Federal Intergovernmental  Transit Utilities (B94),,0,g,11.6
Total Spending,Total,Federal Intergovernmental  Sewerage (B80),,0,g,3.4
Total Spending,Total,Federal Intergovernmental  Water Utilities (B91),,0,g,1.7
Total Spending,Total,Federal Intergovernmental  Health and Hospitals (B42),,0,g,28.2
Total Spending,Total,Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),,0,,0
Total Spending,Total,Federal Intergovernmental  Public Welfare (B79),,0,g,337.8
Total Spending,Total,Federal Intergovernmental  Education (B21),,0,g,104.4
Total Spending,Total,Federal Intergovernmental  Employment Security Administration (B22),,0,g,5.5
Total Spending,Total,Federal Intergovernmental  Housing and Community Development (B50),,0,g,48.9
Total Spending,Total,Total federal outlays (000),,3803.4,b,3803.4
Total Spending,Total,Total state/local outlays (E00),,0,g,3113.5
Federal Deficit,Total Spending,Total federal outlays (000),,3803.4,b,3803.4
Federal Deficit,Total Revenue,Total Revenue (FTR),,2902,b,2902
Gross Public Debt,Public Debt,Long Term Debt Outstanding  Full Faith and Credit  Water Utilities (Disc. 2005) (41A),,0,,0
Gross Public Debt,Public Debt,Long Term Debt Outstanding  Full Faith and Credit  Electric Utilities (Disc. 2005) (41B),,0,,0
Gross Public Debt,Public Debt,Long Term Debt Outstanding  Full Faith and Credit  Gas Utilities (Disc. 2005) (41C),,0,,0
Gross Public Debt,Public Debt,Long Term Debt Outstanding  Full Faith and Credit  Transit Utilities (Disc. 2005) (41D),,0,,0
Gross Public Debt,Public Debt,Long Term Debt Outstanding  Full Faith and Credit  Elementary and Secondary Educati (41F),,0,,0
Gross Public Debt,Public Debt,Long Term Debt Outstanding  Full Faith and Credit  Higher Education (Disc. 2005) (41G),,0,,0
Gross Public Debt,Public Debt,"Long Term Debt Outstanding  Full Faith and Credit  Other, NEC (Disc. 2005) (41X)",,0,,0
Gross Public Debt,Public Debt,Long Term Debt Outstanding Nonguaranteed  Water Utilities (Disc. 2005) (44A),,0,,0
Gross Public Debt,Public Debt,Long Term Debt Outstanding Nonguaranteed  Electric Utilities (Disc. 2005) (44B),,0,,0
Gross Public Debt,Public Debt,Long Term Debt Outstanding Nonguaranteed  Gas Utilities (Disc. 2005) (44C),,0,,0
Gross Public Debt,Public Debt,Long Term Debt Outstanding Nonguaranteed  Transit Utilities (Disc. 2005) (44D),,0,,0
Gross Public Debt,Public Debt,Long Term Debt Outstanding Nonguaranteed  Elementary and Secondary Education (Disc.  (44F),,0,,0
Gross Public Debt,Public Debt,Long Term Debt Outstanding Nonguaranteed  Higher Education (Disc. 2005) (44G),,0,,0
Gross Public Debt,Public Debt,"Longterm Debt Outstanding, End Of Fiscal Year, Public Debt For Private Purposes (44T)",,0,g,620.7
Gross Public Debt,Public Debt,"Long Term Debt Outstanding Nonguaranteed  Other, NEC (Disc. 2005) (44X)",,0,,0
Gross Public Debt,Public Debt,Long Term Debt Outstanding Unspecified Public Purpose (49U),,0,g,2361.6
Gross Public Debt,Public Debt,Short Term Debt Outstanding  End of Fiscal Year (64V),,0,g,19.6
Gross Public Debt,Public Debt,Gross Public Debt (FDB),,0,,0
Gross Public Debt,Public Debt,Debt Held by Public: Other (FDO),,10559.7,e,10559.7
Gross Public Debt,Public Debt Held by Government,Debt Held by Federal Government Accounts (FDG),,4911.3,b,4911.3
,Level2,Level3,Level4,,,
